phi_X,growth_rate_hr,relative_growth_rate,source,protein
0.002510630758327460,1.0096385542168700,1.0000000000000000,"Bentley et al., 1990",β-lactamase
0.07446491849751960,0.8289156626506030,0.8210023866348430,"Bentley et al., 1990",β-lactamase
0.09984053862508860,0.7325301204819280,0.7255369928400940,"Bentley et al., 1990",β-lactamase
0.18421686746988000,0.5831325301204820,0.5775656324582330,"Bentley et al., 1990",β-lactamase
0.03819808646350110,0.7879518072289160,1.0000000000000000,"Dong et al., 1995",EF-Tu
0.03816087880935510,0.7710843373493980,0.9785932721712540,"Dong et al., 1995",EF-Tu
0.0505138199858257,0.7710843373493980,0.9785932721712540,"Dong et al., 1995",EF-Tu
0.047898653437278600,0.7855421686746990,0.9969418960244650,"Dong et al., 1995",EF-Tu
0.05659992912827780,0.7301204819277110,0.9266055045871560,"Dong et al., 1995",EF-Tu
0.06812367115520910,0.7542168674698800,0.9571865443425080,"Dong et al., 1995",EF-Tu
0.09346739900779600,0.6433734939759040,0.8165137614678900,"Dong et al., 1995",EF-Tu
0.1472909284195610,0.6433734939759040,0.8165137614678900,"Dong et al., 1995",EF-Tu
0.19743621545003500,0.5759036144578310,0.7308868501529040,"Dong et al., 1995",EF-Tu
0.17701984408221100,0.5204819277108430,0.6605504587155960,"Dong et al., 1995",EF-Tu
0.1628277817150960,0.48674698795180700,0.617737003058103,"Dong et al., 1995",EF-Tu
0.1881927710843370,0.3855421686746990,0.4892966360856270,"Dong et al., 1995",EF-Tu
0.218777462792346,0.2506024096385540,0.3180428134556570,"Dong et al., 1995",EF-Tu
0.22875974486180000,0.37590361445783100,0.477064220183486,"Dong et al., 1995",EF-Tu
0.24110205527994300,0.3710843373493980,0.4709480122324160,"Dong et al., 1995",EF-Tu
0.27443479801559200,0.2819277108433730,0.3577981651376140,"Dong et al., 1995",EF-Tu
0.25723423104181400,0.08433734939759010,0.107033639143731,"Dong et al., 1995",EF-Tu
0.27749645641389100,0.06987951807228910,0.0886850152905198,"Dong et al., 1995",EF-Tu
0.28988660524450700,0.08674698795180720,0.110091743119266,"Dong et al., 1995",EF-Tu
0.3021172927002130,0.031325301204819100,0.0397553516819569,"Dong et al., 1995",EF-Tu
0.019934443656980900,0.9084337349397590,1.0000000000000000,"Dong et al., 1995",β-galactosidase
0.03228738483345150,0.9084337349397590,1.0000000000000000,"Dong et al., 1995",β-galactosidase
0.029608433734939800,0.8939759036144580,0.9840848806366050,"Dong et al., 1995",β-galactosidase
0.02958185683912130,0.8819277108433740,0.9708222811671090,"Dong et al., 1995",β-galactosidase
0.04107902197023390,0.8939759036144580,0.9840848806366050,"Dong et al., 1995",β-galactosidase
0.04806874557051740,0.8626506024096390,0.9496021220159160,"Dong et al., 1995",β-galactosidase
0.09291991495393340,0.7951807228915660,0.8753315649867370,"Dong et al., 1995",β-galactosidase
0.16399716513111300,0.6168674698795180,0.6790450928381960,"Dong et al., 1995",β-galactosidase
0.1630935506732810,0.6072289156626510,0.6684350132626000,"Dong et al., 1995",β-galactosidase
0.17705705173635700,0.5373493975903610,0.5915119363395220,"Dong et al., 1995",β-galactosidase
0.2507122608079380,0.327710843373494,0.360742705570292,"Dong et al., 1995",β-galactosidase
0.27155386250885900,0.1759036144578310,0.1936339522546420,"Dong et al., 1995",β-galactosidase
0.28036676116229600,0.17108433734939800,0.188328912466844,"Dong et al., 1995",β-galactosidase
0.29602055279943300,0.06746987951807220,0.0742705570291776,"Dong et al., 1995",β-galactosidase
0.0112055083569327,1.7463768115942000,1.0000000000000000,"Scott et al., 2010",β-galactosidase
0.027341884613249,1.785024154589370,1.02213001383126,"Scott et al., 2010",β-galactosidase
